query,reference_id
20대 중반인데 나이에 맞는 향수 뭐가 있을까요?,PF-001
20대 여자들이 많이 쓰는 향수 순위 같은 거 있나요?,PF-002
20대 여성 향수로 달달한 계열이랑 프루티 계열 중에 뭐가 더 인기 있어요?,PF-003
서른 넘으니까 예전에 쓰던 향수가 좀 어려 보이는 것 같은데 30대에 맞는 향수 뭐가 있어요?,PF-004
30대 여자 향수 추천받고 싶어요. 고급스러우면서 무겁지 않은 게 좋겠어요.,PF-005
30대인데 우디플로럴이랑 머스크 중에 뭐가 더 세련된 느낌 나요?,PF-006
날씨 쌀쌀해지니까 여름에 쓰던 향수가 너무 가벼운 느낌인데 가을에 어울리는 향 뭐 있을까요?,PF-007
가을향수 찾고 있는데 앰버나 머스크 계열 중에 데일리로 괜찮은 거 추천해주세요.,PF-008
가을에 뿌리기 좋은 향수 몇 개 후보 두고 있는데 우디 vs 오리엔탈 어떤 게 더 가을 느낌 나나요?,PF-009
겨울에 어울리는 따뜻한 느낌 향수 뭐 있나요?,PF-010
겨울 향수는 어떤 계열이 잘 어울리나요? 우디? 오리엔탈?,PF-011
겨울용 향수 하나 장만하려는데 데일리로 괜찮은 거 추천해주세요.,PF-012
군대 전역하고 향수 좀 써보려는데 남자 향수 입문 어떻게 해요?,PF-013
남자 향수 입문용으로 좋은 거 추천해주세요. 가격도 부담 없는 걸로요.,PF-014
남자 향수 입문 명품 브랜드 중에 뭐가 무난하나요?,PF-015
남자인데 향수 한 번도 안 써봤어요 써보고 싶은데 뭐가 좋을까요?,PF-016
남자향수 추천 좀 해주세요. 20대 남자가 쓰기 좋은 걸로요.,PF-017
남자향수로 우디 계열이랑 시트러스 계열 중에 뭐가 더 여자들한테 반응 좋아요?,PF-018
니치 향수가 뭔가요? 일반 향수랑 뭐가 다른가요?,PF-019
니치 향수 입문으로 좋은 브랜드 알려주세요.,PF-020
니치 향수 가격대가 어떻게 되나요? 명품 향수보다 비싼가요?,PF-021
바닐라처럼 달달한 향 나는 향수 찾고 있어요 어떤 게 있을까요?,PF-022
달달한향수 추천해주세요 캬라멜이나 꿀 느낌 나는 거 있나요?,PF-023
달달한 향수 중에 바닐라 베이스랑 프랄린 베이스 어떤 게 더 자연스러워요?,PF-024
데이트할 때 은은하게 좋은 냄새 나는 향수 추천해주세요.,PF-025
데이트용 향수 남자가 좋아하는 여자 향수가 뭔가요?,PF-026
데이트 향수 너무 진하면 안 될 것 같은데 가벼운 거 뭐 있나요?,PF-027
매일 뿌려도 질리지 않는 향수가 필요한데 데일리용으로 뭐가 좋을까요?,PF-028
데일리향수로 쓸 건데 너무 튀지 않으면서 은은하게 좋은 향 나는 거 알려주세요.,PF-029
데일리로 쓸 향수 두 개 고민 중인데 비누향 vs 파우더리 어떤 게 더 무난해요?,PF-030
데일리 향수로 가벼운 향이랑 깊은 향 중에 뭐가 더 무난한가요?,PF-031
해외여행 가는데 면세점에서 향수 사면 많이 싸나요?,PF-032
면세점에서 향수 사면 진짜 많이 싼가요?,PF-033
면세점 향수 어디 면세점이 제일 싸요?,PF-034
면세점에서 향수 살 때 온라인 사전 주문이랑 현장 구매 중 어디가 더 할인이 큰가요?,PF-035
저렴한 향수만 쓰다가 명품 향수 한 번 써보고 싶은데 입문으로 뭐가 좋을까요?,PF-036
